iIndex,sQuestion,lEquations
150,"The annual gym subscription for a single member is R 1000, while an annual family membership is R 1500. The gym is considering increasing all membership fees by the same amount. If this is done then a single membership would cost 5/7 of a family membership. Determine the amount of the proposed increase",x=(c*b-a)/(1-c)
151,"Erica has decided to treat her friends to coffee at the Corner Coffee House. Erica paid Rs. 54,00 for four cups of cappuccino and three cups of filter coffee. If a cup of cappuccino costs Rs. 3,00 more than a cup of filter coffee, calculate how much a cup of each type of coffee costs?",b*x+c*y=a;1*x-1*y=d
152,The cost of 11 pencils and 3 erasers is $ 50 and the cost of 8 pencils and 3 erasers is $ 38. Find the cost of each pencil and each eraser.,a*x+b*y=c;d*x+e*y=f
153,"In a two digit number, the digit in the unit place is twice of the digit in the tenth place. If the digits are reversed, the new number is 27 more than the given number. Find the number.",b*x-1*y=0;-9*x+9*y=d
154,"The annual gym subscription for a single member is 1000 dollars, while an annual family membership is 1500 dollars. The gym is considering increasing all membership fees by the same amount. If this is done then a single membership would cost 5/7 of a family membership. Determine the amount of the proposed increase",x=(c*b-a)/(1-c)
155,"Mr. Moiz builds a fence around his rectangular vegetable garden of 8m. If the length is twice the breadth, determine the dimensions of Mr. Moiz vegetable garden.",1*x-b*y=0;2*x+2*y=a
156,A 96cm long wire is given the shape of a rectangle such that its length is 12cm more than the breadth. Find the length and breadth of the rectangle,1*x-1*y=b;2*x+2*y=a
157,"After 32 years from now, a boy will be 5 times as old as he was 8 years back. How old is the boy now?",x=(a+b*c)/(b-1)
158,Asalam's age is half of his father's age but 15 years ago his age was just 1/3 of his father's age. Find his present age now,a*x-1*y=0;1*x-c*y=b-c*b
159,A father's age is twice his daughter's age but 16 years ago the father's age was 4 times his dauther's age. Calculate their ages,1*x-a*y=0;1*x-c*y=b-c*b
160,"The length of a marriage hall is 4 times as much as its breadth. If the perimeter of the hall is 240m, find the length and the breadth of the marriage hall.",1*x-a*y=0;2*x+2*y=b
161,"John is 4 times as old as David. In 2 years's time, John will be 3 times as old as David. How old is David now?",1*x-a*y=0;1*x-c*y=b-c*b
162,"Abel is 3 times as old as Ben.3 years ago, Abel was 4 times as old as Ben. Find their ages?",1*x-a*y=0;1*x-c*y=b-c*b
163,Dinah is three times as old as John. In 12 years' time the sum of their ages will be equal to 10 times John's present age. Find their present ages.,1*x-a*y=0;-1*x+(c-1)*y=2*b
164,The sum of three consecutive odd numbers is 135. Find the smallest odd number.,x=(b-2*b)/a
165,Find two consecutive even numbers such that the sum of the larger and three times the smaller number is 42.,x=(b-2)/(1+a)
166,"James is 5 years younger than Robert. If the sum of their ages in 8 years' time is 37, find James's age in 3 years' time.",1*x+1*y=c-2*b;-1*x+1*y=a
167,A firm that manufactures widgets has m machines and employs n workers. The number of widgets it produces each day is given by the expression m*m*(n+3). How many widgets does it produce when m = 5 and n = 6?,x= a*a*(b+3)
168,"kate has two boxes of buttons. After she transfers 15 buttons from box A to box B, the number of buttons in box B becomes 5/7 of the number of buttons in Box A. If there are 35 buttons in Box B, find the initial number of buttons in Box A",0*x+1*y=c;1*1*x-1*y*b=a
169,lixin takes 6.8 minutes to walk from her home to the shopping mall 628 m away. write down the average speed for her journey in m/s,x=b/a
170,"Adam is 4 years younger than Betty. If the sum of their ages is 41, how old they are?",1*x+1*y=b;-1*x+1*y=a
171,The result of adding 14 to twice a number is the same as subtracting 8 from four times that number. Find the number.,x=(a+d)/(c-b)
172,"A father is seven times as old as his son. If the sum of their ages in 15 years' time is 62, how old will the father be when the son reaches the age of 15?",1*x-a*y=0;1*x+1*y=c-2*b
173,A music CD costs $17.80. How many music CD can John buy if he has $50 in his pocket?,x=b/a
174,"A plane flying with a tail wind flew at a speed of 460 miles per hour , relative to the ground. When flying against the tailwind , it flew at a speed of 310 miles per hour. Find the speed of the tailwind",1*x+1*y=a;1*x-1*y=b
175,"Lisa invested 8000 dollars , part at 4 % and the rest at 5 % per year. How much did she invest at 4 % and 5 % if her total return per year on the investments was 380 dollars?",b*x+c*y=f;1*x+1*y=a
176,One number is 11 more than 3 times another number. Their sum is 55. Find the smaller number,-b*x+1*y=a;1*x+1*y=c
177,"Steve invests in a circus production. The coast includes an overhead of 81,000 dollars , plus production costs of 7,000 dollars per performance. A sold-out performance brings in 16,000 dollars , Determine the number of sold-out performances , x , needed to break even.",x=a/(c-b)
178,"Your cell phone company offers two text-messaging plans. Plan A costs 0.25 dollars per text message , plus a monthly fee of 9 dollars. The other plan costs 0.40 dollars per text message with no monthly fee. For how many text messages will both plans cost the same amount?",x=b*(c-a)
179,Jack collects baseball and football cards. He has 125 cards total. The number of baseball cards he has is five more than three times the number of football cards. How many baseball and football cards does he have?,1*x-c*y=b;1*x+1*y=a
180,The sum of two numbers is 85. The difference of twice of one of them and the other one is 5. Find both numbers.,c*x-1*y=d;1*x+1*y=b
181,"A 5-pound bag of apples costs 3.50 dollars. At the same rate , what would be the cost of 7 pounds of apples in dollars?",a*x+0*y=b;c*x-1*y=0
182,"Flying with the wind , a bird was able to make 150 kilometers per hour. If the wind was 0.5 times as strong and the bird flies against it , it could make only 30 kilometers per hour. Find the velocity of the wind in kilometers per hour. Find the velocity of the bird.",1*x-b*y=c;1*x+1*y=a
183,"Michael rented a truck for one day. There was a rental fee of 20.99 dollars , and there also was a charge of 25 cents for each mile. Michael paid 95.74 dollars when he returned the truck. For how many miles did he drive the truck?",x=(d-b)/c
184,"They charged 7 dollars for adults and 5 dollars for children. 127 adults and children attended , and 839 dollars was made from ticket sales. How many children and adults went to the film premiere?",a*x+b*y=d;1*x+1*y=c
185,A local bus tour sold 65 tickets. Senior citizen tickets cost 10 dollars and regular tickets cost 15 dollars. The total sales were 855 dollars. How many senior citizen tickets were sold? How many regular tickets were sold?,b*x+c*y=d;1*x+1*y=a
186,Tony planted a 4 foot tree. The tree grows at a rate of 5 feet every year. How many years will it take to be 29 feet?,x=(c-a)/b
187,Safety Rent A Truck costs 41.95 dollars plus 0.29 dollars per mile. City Rentals rents the truck for 38.95 dollars plus 0.31 dollars per mile. For what mileage are the costs the same?,x=(c-a)/(d-b)
188,"A plane travels due East at 325 miles per hour and another plane travels due west at 275 miles per hour. If they leave at the same time , and from the same place , in how many hours will they be 2100 miles apart?",x=c/(a+b)
189,The difference between 2 times a number and -8 is -12. Find the number.,x=(c+b)/a
190,"A painting is 10 inches tall and 15 inches wide. A print of the painting is 25 inches tall , how wide is the print in inches?",a*x+0*y=b;c*x-1*y=0
191,"Colored copies cost 10 cents per copy and white copies cost 5 cents per copy. Sandy made 400 copies , some of which were colored and the rest white. Her total bill was 22.50 dollars. How many colored copies and white copies did she make?",a*x+b*y=d;1*x+1*y=c
192,"In college there are 15 times as many students as professors. If together the students and professors number 40,000 , how many students are there in college?",a*y-1*x=0;1*x+1*y=b
193,"At its Grand Opening , the Guthrie Market distributed two different types of souvenirs. One type cost 20 cents each , and the other type cost 25 cents each. One thousand souvenirs were distributed in all. If the cost of these souvenirs was 220 dollars. How many of 20 cents and 25 cents souveniers were distributed?",b*x+c*y=e;1*x+1*y=d
194,"193 tickets were sold for the Class of 2003 ice cream picnic. Each student ticket costs 0.50 dollars each , and each non-student ticket costs 1.50 dollars each. A total of 206.50 dollars was collected. How many student tickets were sold?",b*x+c*y=d;1*x+1*y=a
195,A washer and a dryer cost 600 dollars combined. The price of the washer is 3 times the price of the dryer. What is the cost of the dryer?,1*x-b*y=0;1*x+1*y=a
196,"Tickets for a ballet performance cost 14 dollars for adults and 12 dollars for students. If total receipts from the sale of 605 tickets were 8,390.00 dollars , how many adult tickets were sold? How many student tickets were sold?",a*x+b*y=d;1*x+1*y=c
197,Apples cost 0.60 dollars per pound and grapes cost 1.00 dollars per pound. Jenny bought 12 pounds of fruit and paid 10.00 dollars. How many pounds of apples did she buy? How many pounds of grapes?,a*x+b*y=d;1*x+1*y=c
198,Three times a number is the same as the difference of twice the number and seven. Find the number.,x=c/(b-a)
199,.833 of a number is -60. What is the number?,x=b/a
200,The sum of two numbers is 104. The larger number is 1 less than twice the smaller number. Find the numbers.,-1*x+c*y=b;1*x+1*y=a
201,The sum of 20 and a number is 30.,x=b-a
202,3 times a number is added to 5 times a number to get 54. The second number is 2 less than the first. What is the smaller number? What is the larger number?,a*x+b*y=c;1*x-1*y=d
203,How many liters of a 60 % acid solution must be mixed with a 75 % acid solution to get 20 liters of a 72 % solution?,a*x+b*y=c*d;1*x+1*y=c
204,"A manufacturer produces two models of the same toy , Model A and Model B. Model A takes 4 hours to produce and costs 8 dollars each. Model B takes 3 hours to produce and costs 7 dollars each. If the manufacturer allots a total of 5800 hours and 12,600 dollars for production each week , how many of each model will be produced?",a*x+c*y=e;b*x+d*y=f
205,"An amusement park sells 2 kinds of tickets.  Tickets for children cost 1.50 dollars.  Adult tickets cost 4 dollars.  On a certain day , 278 people entered the park.  On that same day the admission fees collected totaled 792 dollars. How many children were admitted on that day? How many adults were admitted?",b*x+c*y=e;1*x+1*y=d
206,"Post card stamps are 0.20 dollars each. Letter stamps cost 0.33 dollars each. If you have 50 stamps worth 12.60 dollars , how many post card stamps do you have? How many letter stamps?",a*x+b*y=d;1*x+1*y=c
207,"River Joes 's Seafood Diner charges 6.00 dollars for a catfish dinner and 3.50 dollars for an order of popcorn shrimp. After filling 26 orders , River Joe had collected 133.50 dollars. How many orders of popcorn shrimp and catfish dinners did they sell?",a*x+b*y=d;1*x+1*y=c
208,"For a matinee , a movie theater charges 4.50 dollars for children and 6.75 dollars for adults. At today 's matinee , there are 20 more children than adults and the total receipts are 405 dollars. How many children are at today 's matinee?",a*x+b*y=d;1*x-1*y=c
209,The difference between two numbers is 3. Their sum is 13. Find the numbers. What is the larger number? What is the smaller number?,1*x+1*y=c;1*x-1*y=b
210,"Kerry asked a bank teller to cash a 390 dollars check using 20-dollar bills and 50-dollar bills. If the teller gave her a total of 15 bills , how many 20-dollar bills did she get? How many 50-dollar bills?",b*x+c*y=a;1*x+1*y=d
211,"A theater sold 900 tickets to a play. Floor seats cost 12 dollars each and balcony seats 10 dollars each. Total receipts were 9,780 dollars. How many floor seats were sold? How many balcony seats were sold?",b*x+c*y=d;1*x+1*y=a
212,"A movie theater charges 7 dollars for an adult and 4 dollars for a child 's ticket. One night , 900 tickets were sold for a total of 5,100 dollars. How many adult tickets were sold? How many child 's tickets were sold?",a*x+b*y=d;1*x+1*y=c
213,Eldora and Finn went to an office supply store together. Eldora bought 15 boxes of paper clips and 7 packages of index cards for a total cost of 55.40 dollars. Finn bought 12 boxes of paper clips and 10 packages of index cards for a total cost of 61.70 dollars. Find the cost of one box of paper clips and the cost of one package of index cards.,a*x+b*y=c;d*x+e*y=f
214,The sum of 2 numbers is 70. The larger number is 2 more than 3 times the smaller number. Find the smaller number. Find the larger number.,-c*x+1*y=d;1*x+1*y=b
215,"A high school sold gift wrap. The gift wrap in solid colors sold for 4.00 dollars per roll and the print gift wrap sold for 6.00 dollars per roll. The total number of rolls sold was 480 rolls , and the total amount of money collected was 2,340.00 dollars. How many solid rolls were sold? How many print rolls were sold?",a*x+b*y=d;1*x+1*y=c
216,"An embossing shop etches metal with acid solutions. The owner is discussing a certain job with the job supervisor , and they decide to use 30 ounces of a 40 % solution. Upon checking the acid solution supplies , the supervisor has found some 25 % acid solution and some 50 % acid solution , but there is no 40 % acid solution. The owner explains to the supervisor how the two existing solutions can be mixed to obtain a 40 % acid solution. How much of each solution is needed?",b*x+c*y=a*b;1*x+1*y=a
217,Jane has a dress shop. She has space for 200 dresses. She sells only red and blue dresses. After reading several fashion magazines she decides to stock her shelves with 34 more blue dresses than red dresses. How many blue dresses and red dresses should she stock?,1*x+1*y=a;-1*x+1*y=b
218,"A special tea blend is made from two varieties of herbal tea , one that costs 4.00 dollars per kilogram and another that costs 2.00 dollars per kilogram. How many kilograms of each type are needed to make 20 kilograms of a blend worth 2.50 dollars per kilogram?",b*x+c*y=d*e;1*x+1*y=d
219,"The Lakers scored a total of 80 points in a basketball game against the Bulls. The Lakers made a total of 37 baskets , consisting of 2 point baskets and 3 point baskets. How many 2 point baskets did the Lakers make? How many 3 point baskets did the Lakers make?",c*x+d*y=a;1*x+1*y=b
220,"In a week , a music store sold 7 violins for a total of 1600 dollars. 2 different types were sold. One cost 200 dollars and the other cost 300 dollars. How many 200-dollar violins were sold? How many 300-dollar violins were sold?",d*x+e*y=b;1*x+1*y=a
221,Sunshine Car Rentals rents a basic car at a daily rate of 17.99 dollars plus 0.18 per mile. City Rentals rents a basic car at 18.95 dollars plus 0.16 per mile. For what mileage is the cost the same?,x=(c-a)/(b-d)
222,The sum of 38 and twice a number is 124. Find the number.,x=(c-a)/b
223,"A company 's profit for the first half of the year is 2,750,000 dollars greater than the profit for the second half. If the total annual profit is 3,635,000 dollars , find the profit for the first half-year and the second half-year.",1*x+1*y=b;1*x-1*y=a
224,"Pat invested a total of 3,000 dollars. Part of the money yields 10 percent interest per year and the rest yields 8 percent interest per year. If the total yearly interest from this investment is 256 dollars , how much did Pat invest at 10 percent and how much at 8 percent?",b*x+c*y=d;1*x+1*y=a
225,"2 similar tables and 6 similar chairs cost 6600 dollars. If the table cost 500 dollars more than a chair , what is the cost , in dollars , of the table? What is the cost of the chair?",a*x+b*y=c;1*x-1*y=d
226,The state market has 27 more apples than oranges. There are 301 apples and oranges all together. How many apples are in the market?,1*x+1*y=b;1*x-1*y=a
227,Find the number whose double is 45 greater than its half?,x=b/(a-c)
228,A carpenter gave an estimate of 980 dollars to build a cover over a patio. His hourly rate is 28 dollars and he expects to need 560 dollars in materials. How many hours will the job take?,x=(a+c)/b
229,"Adult tickets for a play cost 8 dollars and child tickets cost 1 dollars. If there were 22 people at a performance and the theater collected 50 dollars from ticket sales , how many children attended the play?",a*x+b*y=d;1*x+1*y=c
230,kevin bought 3 muffins and a bottle of juice that cost 1.45 dollars. He paid a total of 3.70 dollars. How much did each muffin cost?,x=(c-b)/a
231,1 blend of coffee sells for 9.00 dollars per pound and another blend sells for 8.00 dollars per pound. You want to make a 20 pound blend that sells for 8.40 dollars per pound. How many pounds of the 8 dollars per pound coffee do you need? How many pounds of the 9 dollars per pound coffee do you need?,b*x+c*y=d*e;1*x+1*y=d
232,"The tallest player on the basketball team is 77.75 inches tall. This is 9.5 inches taller than the shortest player. How tall is the shortest player , in inches?",x=a-b
233,0.20 of a number decreased by 4 is equal to 6. Find the number.,x=(c+b)/a
234,"The sum of the numbers of boys and girls in a class is 36. If twice the number of girls exceeds the number of boys by 12 , find the number of girls in the class. Find the number of boys.",b*x-c*y=0;1*x+1*y=a
235,The probability that San Francisco plays in the next super bowl is nine times the probability that they do not play in the next super bowl. The probability that San Francisco plays in the next super bowl plus the probability that they do not play is 1. What is the probability that San Francisco plays in the next super bowl?,1*x-a*y=0;1*x+1*y=b
236,"If 4 apples and 2 oranges equals 1 dollars and 2 apples and 3 orange equals 0.70 dollars , how much does each apple and each orange cost?",a*x+b*y=c;d*x+e*y=f
237,"A washer-dryer combination costs 1,200 dollars. If the washer costs 220 dollars more than the dryer , what does the washer cost? How much does the dryer cost?",1*x+1*y=b;1*x-1*y=a
238,There are 11 animals in a barnyard. Some are chickens and some are cows. There are 38 legs in all. How many chickens and cows are in the barnyard?,2*x+4*y=b;1*x+1*y=a
239,Riza was 25 when her first son was born. Today the sum of their ages is 105. How old is Riza and her son now?,1*x+1*y=b;1*x-1*y=a
240,"Each unit of grain A contains 2 grams of fat and 80 calories , and unit B has 3 grams of fat and 60 calories. If the final product is to provide 18 grams of fat and 480 calories , how much of grain A and how much of grain B should be used.",a*x+b*y=e;c*x+d*y=f
241,Freeport McMoran projects that in 2010 the world grain supply will be 1800000 metric tons and the supply will be only 0.75 of the world grain demand. What will the world grain demand be in 2010?,x=b/c
242,"For his long distance phone calls , John pays a 5 dollars monthly fee plus 25 cents per minute. Last month , John 's long distance bill was 12.02 dollars. For how many minutes was John billed?",x=(c-a)/b
243,"The Willey Farm Collective , farmed by several branches of the Willeys , has 4500 acres of land available for raising corn and wheat. The cost of raising corn is 42 dollars an acre , while the cost of wheat is 35 dollars an acre. The Collective 's available capital is 165,200 dollars. How many acres of corn should the Collective plant? How many acres of wheat should the collective plant?",b*x+c*y=d;1*x+1*y=a
244,During a sale an automobile dealer sold 69 cars and trucks. If she sold 27 more cars than trucks how many trucks did she sell?,1*x+1*y=a;1*x-1*y=b
245,"For a certain event , 821 tickets were sold , for a total of 1933 dollars. If students paid 2 dollars per ticket and nonstudents paid 3 dollars per ticket , how many student tickets were sold?",c*x+d*y=b;1*x+1*y=a
246,Mrs. Naidu bought 155 dollars in groceries. She paid her bill with 5-dollar notes and 20-dollar notes using a total of 13 notes. How many 5-dollar notes were used? How many 20-dollar notes were used?,b*x+c*y=a;1*x+1*y=d
247,A water flow restrictor has reduced the flow of water to 2 gallons per minute. This amount is 1 gallon per minute less than 0.6 the original flow rate. Find the original rate in gallons per minute.,x=(a+b)/c
248,Find two numbers whose sum is 147 and one is 4 greather than 0.375 of the other.,1*x-c*y=b;1*x+1*y=a
249,There are 13 animals in a barn. Some are chickens and some are pigs. There are 40 legs in the barn. How many are pigs are there and how many chicken are there?,2*x+4*y=b;1*x+1*y=a
250,A car rents for 50 dollars a day plus 20 cents a mile. You are on a daily budget of 88 dollars. What maximum mileage will allow you to stay within your budget?,x=(c-a)/b
251,A vendor sold 200 tickets for an upcoming rock concert. Floor seats were 36 dollars and stadium seats were 28 dollars. The vendor sold 6080 dollars in tickets. How many 36-dollar tickets did the vendor sell? How many 28-dollar tickets did the vendor sell?,b*x+c*y=d;1*x+1*y=a
252,A building with 12 units consists of 1 bedrooms costing 360 dollars and 2 bedrooms costing 450 dollars respectively. When all units are full the total is 4950 dollars. How many 2 bedroom units are there?,c*x+e*y=f;1*x+1*y=b
253,The second of two numbers is 4 more than the first. The sum is 56. Find the first and second numbers.,1*x+1*y=b;-1*x+1*y=a
254,A woman is paid 20 dollars for each day she works and forfeits 5 dollars for each day she is idle. At the end of 25 days she nets 450 dollars. How many days did she work?,a*x-b*y=d;1*x+1*y=c
255,Twice a number equals 25 less than triple the same number. What is the number?,x=b/(c-a)
256,"You are taking a test in which multiple choice questions are worth 9 points and essay questions are worth 12 points. You answer 16 questions correctly , and your score was 162 points. Find how many multiple choice questions you got right. How many essay questions did you get right?",a*x+b*y=d;1*x+1*y=c
257,"Two cars leave the same point , traveling in opposite directions. If one travels at a constant speed of 52 miles per hour and the other travels at a constant speed of 58 miles per hour. In how many hours will they be 385 miles apart?",x=c/(a+b)
258,"Lane invested 22,000 dollars , part at 8 % and part at 7 %. If the total interest at the end of the year is 1,710 dollars , how much did she invest at 8 %?",b*x+c*y=d;1*x+1*y=a
259,"1 number is 9 less than twice another , and their sum is 42. Find the two numbers.",-1*x+c*y=b;1*x+1*y=d
260,"Think of a number , half it and the result is 9. Find the number.",x=b/a
261,The sum of 2 numbers is 64 and their difference is 18. What is the first number? What is the second number?,1*x+1*y=b;1*x-1*y=c
262,Tickets to the school 's dinner theatre cost 6 dollars for children and 9 dollars for adults. 225 tickets were sold for a total of 1875 dollars. How many children attended? How many adults attended?,a*x+b*y=d;1*x+1*y=c
263,"Suzy has a piggy bank consisting of nickels and dimes. If there are 30 coins worth 1.90 dollars , how many nickels and dimes are in the bank?",0.05*x+0.1*y=b;1*x+1*y=a
264,"1.3333 of a number is 4.82 , what is the number?",x=b/a
265,"6 ducks and 5 pigs cost 213 dollars , while 2 ducks and 9 pigs cost 269 dollars. Find the cost of a duck and a pig.",a*x+b*y=c;d*x+e*y=f
266,2 snails are 264 centimeters apart. They craw toward each other at rates that differ by 6 centimeters per minute. After 22 minutes they meet. How fast is each snail crawling?,d*x+d*y=b;1*x-1*y=c
267,"The manager of a discount clothing store received 2 shipments of Fall clothing. The cost of the first shipment which contained 10 identical sweaters and 20 identical jackets was 800 dollars. The second shipment at the same prices , contained 5 of the same sweaters and 15 of the same jackets. The second shipment was 550 dollars. Find the cost of 1 jacket , in dollars.",a*x+b*y=c;d*x+e*y=f
268,High school graduating class is made up of 466 students. There are 212 more girls than boys. How many boys are in the class?,1*x+1*y=a;1*x-1*y=b
269,Student Council wants to rent a banquet hall for the prom. Caesar 's charges 800 dollars to rent the room and 30 dollars for each meal. Venus Hall charges 500 dollars to rent the room and 35 dollars for each meal. How many guests must attend the prom for the costs of the two halls to be the same?,x=(a-c)/(d-b)
270,When 4 times the number is added to 7 times the number the result is 55. What is the number?,x=c/(a+b)
271,"2 investments are made totaling 8800 dollars. For a certain year , these investments yield 1326 dollars in simple interest. Part of the 8800 dollars is invested at 16 % and part at 14 %. Find the amount invested at 16 % and 14 %.",d*x+e*y=c;1*x+1*y=b
272,"With a tail wind , a jet flew 2000 miles in 4 hours. The jet 's return trip against the same wind required 5 hours. Find the jet 's speed and the wind speed.",b*x+b*y=a;c*x-c*y=a
273,"Sara and Jim both decided to save some money each week. Sara has already saved 4100 dollars , and she plans to save 10 dollars a week. Jim plans to save 15 dollars a week. In how many weeks will Jim and Sara have saved the same amount?",x=a/(c-b)
274,You are making 10 tons of concrete that is 62 % cement by mixing a 20 % cement mixture with a 80 % cement mixture. How much of the 80 % cement mixture must you use? Answer in units of tons.,c*x+d*y=a*b;1*x+1*y=a
275,Separate 66 into 2 parts so that 0.40 of one part exceeds 0.625 of the other part by 10. What is the smaller part? What is the larger part?,c*x-d*y=e;1*x+1*y=a
276,"Snookers Lumber can convert logs into either lumber or plywood. In a given day , the mill turns out three times as many units of plywood as lumber. It makes a profit of 30 dollars on a unit of lumber and 50 dollars on a unit of plywood. Snookers lumber must produce and sell ___ units of lumber and ___ units of plywood to make a profit of 18360 dollars?",b*x+c*y=d;a*x-1*y=0
277,A car traveled 715 kilometers in 11 hours. What was its average speed?,x=a/b
278,You make candles and sell them for 15 dollars each. The material to make up to 20 candles costs 20 dollars. How many candles must you sell to have a profit of 85 dollars?,x=(c+b)/a
279,Tim and Judy mix two kinds of feed for pedigreed dogs. They wish to make 35 pounds of feed worth 0.36 dollars per pound by mixing one kind worth 0.18 dollars per pound with another worth 0.53 dollars per pound. How many pounds of the cheaper kind should they use in the mix?,d*x+e*y=b*c;1*x+1*y=b
280,A grain-storage warehouse has a total of 30 bins. Some hold 20 tons of grain each.  The rest hold 15 tons each. How many of each type of bin are there if the capacity of the warehouse is 510 tons? How many 20 ton bins? How many 15 ton bins?,b*x+c*y=d;1*x+1*y=a
281,"One number is 3 less than twice another. If their sum is 39 , find the numbers.",b*x-1*y=a;1*x+1*y=c
282,"The Red Rose Theatre sells tickets for 4.50 dollars and 6.00 dollars. A total of 380 tickets were sold for their last performance of `` Mickey the Mouse ''. If the sales for the performance totaled 1972.50 dollars , how many tickets were sold for 6.00 dollars? How many tickets were sold for 4.50 dollars?",a*x+b*y=d;1*x+1*y=c
283,"The owner of the Most Amazing Circus was counting the money from one day 's ticket sales. He knew that a total of 522 tickets were sold. Adult tickets cost 15 dollars each and children 's tickets cost 8 dollars each. If the total receipts for the day were 5086.00 dollars , how many adult tickets were sold? How many children 's tickets?",b*x+c*y=d;1*x+1*y=a
284,"A freight train and an express train leave towns 390 kilometers apart , traveling toward one another. The freight train travels 30 kilometers per hour slower than the express train. They pass one another 3 hours later. How fast is the freight train , in miles per hour? How fast is the express train?",c*x+c*y=a;-1*x+1*y=b
285,"If your gross pay is $ 450 , while your net pay is $315 , how much do you pay in taxes? Assume that all tax dollars are not included in net pay.",x=a-b
286,"There are 850 douglas fir and ponderosa pine trees in a section of the forest bought by Sawz logging company. The company paid an average of 300 dollars for each douglas fir and 250 dollars for each ponderosa pine. if the company paid 217,500 dollars for the trees , how many firs and pines did they buy?",b*x+c*y=d;1*x+1*y=a
287,"A plumber contractor decides to field-test two new pumps. One is rated at 180 gallons per hour and the other at 250 gallons per hour. Over a period of 6 hours , she pumps a total of 1325 gallons. How many hours were used by the 180 gallons per hour pump? How many hours were used by the 250 gallons per hour pump?",a*x+b*y=d;1*x+1*y=c
288,The product of 10 and a number is the same as 36 less twice that same number. Find the number.,x=b/(c-a)
289,"A woman invested a total of 9,000 dollars in 2 accounts , one earning 6.5 % annual interest and the other earning 8 % annual interest. After 1 year , her combined interest was 678.87 dollars. How much did she invest in the account paying 8 % interest , in dollars?",c*x+d*y=e;1*x+1*y=a
290,"A peach and a apple cost 70 cents. The peach is more expensive than the apple by 60 cents. What is the cost a peach , in cents? What is the cost of an apple , in cents?",1*x+1*y=a;1*x-1*y=b
291,"In a test of 30 questions , 20 points are given for each correct answer and 5 points are deducted for each one answered incorrectly. If Maria answered all of the questions and got a score of 325 , how many did she get correct?",b*x-c*y=d;1*x+1*y=a
292,A piggy bank has 50 coins. The coins are either nickels or dimes. The bank has 4.55 dollars in total. How many coins are nickels? How many are dimes?,0.05*x+0.1*y=b;1*x+1*y=a
293,"If 120 lollipops cost 90 dollars , how much does 1 lollipop cost , in dollars?",x=b/a
294,A football team lost 5 yards and then gained 9. What is the team's progress?,x=b-a
295,Maria bought 10 notebooks and 5 pens costing 2 dollars each.How much did Maria pay?,x=c*(a+b)
296,A customer pays 50 dollars for a coffee maker after a discount of 20 dollars. What is the original price of the coffe maker?,x=a+b
297,The sum of two numbers is 16. The difference is 4. What are the two numbers?,1*x+1*y=b;1*x-1*y=c
298,The ratio of two numbers is 5 to 1. The sum is 18. What are the two numbers?,b*x-c*y=0;1*x+1*y=d
299,The cost of tickets for a play is $3.00 for adults and $2.00 for children. 350 tickets were sold and $950 was collected. How many tickets of each type were sold?,a*x+b*y=d;1*x+1*y=c
300,Jim sold 120 tickets to a game. Adult tickets are $24 each and children tickets are $13 each. Sales are $2110. How many of each was sold?,b*x+c*y=d;1*x+1*y=a
301,"The average (arithmetic mean) of a list of 6 numbers is 20. If we remove one of the numbers, the average of the remaining numbers is 15. What is the number that was removed?",x=(a*b)-((a-1)*c)
302,A class of 25 students took a science test. 10 students had an average (arithmetic mean) score of 80. The other students had an average score of 60. What is the average score of the whole class?,x=(b*c+(a-b)*d)/a
303,John drove for 3 hours at a rate of 50 miles per hour and for 2 hours at 60 miles per hour. What was his average speed for the whole journey?,x=(a*b+c*d)/(a+c)
304,"John has 50 stamps, some worth $15 and some worth $20. If their value is $9.50, how many of each kind does John have?",b*x+c*y=d;1*x+1*y=a
305,A test has twenty questions worth 100 points. The test consists of True/False questions worth 3 points each and multiple choice questions worth 11 points each.How many multiple choice questions are on the test?,c*x+d*y=b;1*x+1*y=a
306,Two small pitchers and one large pitcher can hold 8 cups of water. One large pitcher minus one small pitcher constitutes 2 cups of water. How many cups of water can each pitcher hold?,a*x+b*y=c;-1*x+1*y=d
307,Jane spent $42 for shoes. This was $14 less than twice what she spent for a blouse. How much was the blouse?,x=(a+b)/c
308,There are 9 boys in the class. This is three more than four times the number of girls. How many girls are in the class?,x=(a-b)/c
309,"The sum of two numbers is 84, and one of them is 12 more than the other. What are the two numbers?",x=(b-c)/a
310,The sum of two consecutive numbers is 37. What are they?,x=(b-1)/a
311,joan sold half of her comic books and then bought 9 more. She now has 14. How many did she begin with?,x=2*(b-a)
312,Oceanside Bike Rental Shop charges $13 plus $6 an hour for renting a bike. Melanie paid $43 to rent a bike. How many hours did she pay to have the bike checked out?,x=c/(a+b)
313,Keith had $191 to spend on 6 books. After buying them he had $17. How much did each book cost?,x=(a-c)/b
314,"On Monday, 389 students went on a trip to the zoo. All 7 buses were filled and 4 students had to travel in cars. How many students were in each bus?",x=(a-c)/b
315,Melanie spent half of her allowance going to the movies. She washed the family car and earned $7. What is her weekly allowance if she ended with $16.,x=2*(b-a)
316,jessica bought a soft drink for $4 and 6 candy bars. She spent a total of $22. How much did each candy bar cost?,x=(c-a)/b
317,Joan spent half of her allowance going to the movies. She washed the family car and earned 7 dollars. What is her weekly allowance if she ended with 13 dollars?,x=2*(b-a)
